"","MetabID","shortname","Fill..","S.N.average","Ontology","Metabolite.name","Formula","HMDB","KEGG","HMDB_accession","CHEBI_ID","PubChem_ID","BiGG_ID","INCHIKEY","SMILES","Serum","Urine","SUB_CLASS","CATEGORY","MAIN_CLASS"
"(+)-1-(9-fluorenyl)ethyl chloroformate","7100_neg","(+)-1-(9-fluorenyl)ethyl chloroformate",0.38,72.92,NA,"Unknown","null","(+)-1-(9-Fluorenyl)ethyl chloroformate","","HMDB0242239","NA","115102","NA","null","null",TRUE,TRUE,NA,NA,NA
"(+)-diacetyl-l-tartaric anhydride","4555_pos","(+)-diacetyl-l-tartaric anhydride",0.47,2450.17,NA,"Unknown","null","(+)-Diacetyl-L-tartaric anhydride;Diacetyl-L-tartaric Anhydride","","HMDB0242250;HMDB0251121","NA;NA","95411;13725948","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(+)-praeruptorin a","12942_pos","(+)-praeruptorin a",0.22,521168.3,NA,"S-Adenosyl-L-homocysteine","null","(+)-Praeruptorin A;Wushanicaritin","","HMDB0242259;HMDB0257872","NA;NA","73189387;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(-)-Epigallocatechin","9166_pos","(-)-Epigallocatechin",0.44,1546423,NA,"Unknown","null","(-)-Epigallocatechin;(+)-Gallocatechin","C12136;C12127","HMDB0038361;HMDB0038365","42255;31018","72277;65084","NA;NA","null","null",TRUE,TRUE,"Epigallocatechins","Flavonoids","Flavans"
"(-)-Slaframine","3698_pos","(-)-Slaframine",0.2,23.75,NA,"Unknown","null","(-)-Slaframine","","HMDB0243523","NA","9794202","NA","null","null",TRUE,FALSE,"Indolizidines","Indolizidines",NA
"(1ar,3s,4as,7s,8as)-3-[(1s,2r,3r)-3-[(2r,5s)-5,6-dimethylheptan-2-yl]-2-(2-hydroxyethyl)-2-methylcyclopentyl]-7-hydroxy-4a-methyl-2,3,5,6,7,8-hexahydro-1ah-naphtho[4,4a-b]oxiren-4-one","15295_neg","(1ar,3s,4as,7s,8as)-3-[(1s,2r,3r)-3-[(2r,5s)-5,6-dimethylheptan-2-yl]-2-(2-hydroxyethyl)-2-methylcyclopentyl]-7-hydroxy-4a-methyl-2,3,5,6,7,8-hexahydro-1ah-naphtho[4,4a-b]oxiren-4-one",0.11,776690.1,NA,"Unknown","null","(1Ar,3S,4aS,7S,8aS)-3-[(1S,2R,3R)-3-[(2R,5S)-5,6-dimethylheptan-2-yl]-2-(2-hydroxyethyl)-2-methylcyclopentyl]-7-hydroxy-4a-methyl-2,3,5,6,7,8-hexahydro-1aH-naphtho[4,4a-b]oxiren-4-one","","HMDB0242305","NA","73837310","NA","null","null",TRUE,FALSE,NA,NA,NA
"(1r,4r,5s,6r)-4-amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","2999_neg","(1r,4r,5s,6r)-4-amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid",0.49,131.92,NA,"Unknown","null","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","","HMDB0242337","NA","10130273","NA","null","null",TRUE,TRUE,NA,NA,NA
"(1s,4ar,5r,8s,8as)-2,5-dimethyl-8-propan-2-yl-4,4a,6,7,8,8a-hexahydro-1h-naphthalene-1,5-diol","5513_neg","(1s,4ar,5r,8s,8as)-2,5-dimethyl-8-propan-2-yl-4,4a,6,7,8,8a-hexahydro-1h-naphthalene-1,5-diol",0.84,1023034,NA,"Unknown","null","(1S,4Ar,5R,8S,8aS)-2,5-dimethyl-8-propan-2-yl-4,4a,6,7,8,8a-hexahydro-1H-naphthalene-1,5-diol;Methyl 9-tetradecynoate","","HMDB0250424;HMDB0254572","NA;NA","NA;557205","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2,5-dihydroxypyrrol-1-yl) 5-[(3as,4s,6ar)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate","10930_pos","(2,5-dihydroxypyrrol-1-yl) 5-[(3as,4s,6ar)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate",0.04,154444.1,NA,"Unknown","null","(2,5-Dihydroxypyrrol-1-yl) 5-[(3aS,4S,6aR)-2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoate;(2,5-Dioxopyrrolidin-1-yl) 5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoate","","HMDB0242491;HMDB0242494","NA;NA","54153932;434213","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2,5-dioxopyrrolidin-1-yl) 5-(2-hydroxyethoxy)-4-oxopentanoate","7476_pos","(2,5-dioxopyrrolidin-1-yl) 5-(2-hydroxyethoxy)-4-oxopentanoate",0.47,18.49,NA,"Unknown","null","(2,5-Dioxopyrrolidin-1-yl) 5-(2-hydroxyethoxy)-4-oxopentanoate","","HMDB0242493","NA","127583","NA","null","null",TRUE,TRUE,NA,NA,NA
"(2,6-dioxo-3h-purin-9-yl) pyridine-3-carboxylate","7143_neg","(2,6-dioxo-3h-purin-9-yl) pyridine-3-carboxylate",0.51,71.19,NA,"Unknown","null","(2,6-Dioxo-3H-purin-9-yl) pyridine-3-carboxylate;6-Imidazol-1-yl-7-nitro-1,4-dihydroquinoxaline-2,3-dione","","HMDB0242495;HMDB0259953","NA;NA","57002623;5486548","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2-carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl) hydrogen sulfate","7072_pos","(2-carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl) hydrogen sulfate",0.13,18.64,NA,"Unknown","null","(2-Carbamoyl-7-oxo-1,6-diazabicyclo[3.2.1]octan-6-yl) hydrogen sulfate","","HMDB0242465","NA","9838180","NA","null","null",TRUE,TRUE,NA,NA,NA
"(2-ethylcrotonoyl)urea","1931_pos","(2-ethylcrotonoyl)urea",0.84,55.44,NA,"Unknown","null","(2-Ethylcrotonoyl)urea","","HMDB0242468","NA","7214","NA","null","null",TRUE,TRUE,NA,NA,NA
"(2e)-3-[3-(sulfooxy)phenyl]prop-2-enoic acid","5784_neg","(2e)-3-[3-(sulfooxy)phenyl]prop-2-enoic acid",0.16,160.12,NA,"Unknown","null","(2E)-3-[3-(sulfooxy)phenyl]prop-2-enoic acid;p-Coumaric acid sulfate;O-Coumaric acid sulfate;cis-p-Coumaric acid sulfate","","HMDB0124975;HMDB0125166;HMDB0240549;HMDB0240710","NA;NA;NA;NA","6443141;6070438;59950526;NA","NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2r)-2-acetamido-3-[[(2r)-2-acetamido-2-carboxyethyl]disulfanyl]propanoic acid","10050_pos","(2r)-2-acetamido-3-[[(2r)-2-acetamido-2-carboxyethyl]disulfanyl]propanoic acid",0.58,117968,NA,"Unknown","null","(2R)-2-Acetamido-3-[[(2R)-2-acetamido-2-carboxyethyl]disulfanyl]propanoic acid;Ribavirin monophosphate;2-Amino-3-[[(2R)-2-carboxy-2-(diacetylamino)ethyl]disulfanyl]propanoic acid","","HMDB0242531;HMDB0257208;HMDB0257578","NA;NA;NA","306129;321727;19364518","NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"(2r)-2-amino-3-methyl-3-(2-nitrosoacetyl)sulfanylbutanoic acid","4762_pos","(2r)-2-amino-3-methyl-3-(2-nitrosoacetyl)sulfanylbutanoic acid",0.42,48.42,NA,"Unknown","null","(2R)-2-Amino-3-methyl-3-(2-nitrosoacetyl)sulfanylbutanoic acid;s-Nitroso-n-acetyl-d-penicillamine","","HMDB0242714;HMDB0250051","NA;NA","22242589;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2r)-3-sulfanylpropane-1,2-diol","375_pos","(2r)-3-sulfanylpropane-1,2-diol",0.87,136.93,NA,"Unknown","null","(2R)-3-Sulfanylpropane-1,2-diol","","HMDB0242566","74537","7291","NA","null","null",TRUE,TRUE,NA,NA,NA
"(2r,3s,4r,5r)-2-fluoro-3,4,5,6-tetrahydroxyhexanal","2917_pos","(2r,3s,4r,5r)-2-fluoro-3,4,5,6-tetrahydroxyhexanal",0.87,347.26,NA,"3-(4-HYDROXYPHENYL)LACTATE","null","(2R,3S,4R,5R)-2-Fluoro-3,4,5,6-tetrahydroxyhexanal;2-Deoxy-2-fluoro-alpha-D-galactopyranose;3-Deoxy-3-fluoro-D-glucose;Imidazobenzodiazepine;(3R,4S,5R)-3,4,5,6-Tetrahydroxyhexanoyl fluoride","","HMDB0242548;HMDB0245096;HMDB0245854;HMDB0253416;HMDB0258135","NA;49140;NA;NA;NA","13715114;315411;4386393;66618719;NA","NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2r,3s,4s,5r,6s)-2-(hydroxymethyl)-6-[4-(3-hydroxyprop-1-enyl)-2,6-dimethoxyphenoxy]oxane-3,4,5-triol","11790_neg","(2r,3s,4s,5r,6s)-2-(hydroxymethyl)-6-[4-(3-hydroxyprop-1-enyl)-2,6-dimethoxyphenoxy]oxane-3,4,5-triol",0.04,7.12,NA,"Unknown","null","(2R,3S,4S,5R,6S)-2-(Hydroxymethyl)-6-[4-(3-hydroxyprop-1-enyl)-2,6-dimethoxyphenoxy]oxane-3,4,5-triol","","HMDB0242525","NA","323959","NA","null","null",TRUE,FALSE,NA,NA,NA
"(2r,4r,5s,6s)-2,4-dihydroxy-5-[(2-hydroxyacetyl)amino]-6-[(1s,2s)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid","9608_neg","(2r,4r,5s,6s)-2,4-dihydroxy-5-[(2-hydroxyacetyl)amino]-6-[(1s,2s)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid",0.87,21637.69,NA,"Unknown","null","(2R,4R,5S,6S)-2,4-Dihydroxy-5-[(2-hydroxyacetyl)amino]-6-[(1S,2S)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid","","HMDB0242723","NA","4603312","NA","null","null",TRUE,TRUE,NA,NA,NA
"(2r,4s)-1-tert-butyl 2-methyl 4-aminopyrrolidine-1,2-dicarboxylate","6024_pos","(2r,4s)-1-tert-butyl 2-methyl 4-aminopyrrolidine-1,2-dicarboxylate",0.6,2478.85,NA,"Unknown","null","(2R,4S)-1-Tert-Butyl 2-methyl 4-aminopyrrolidine-1,2-dicarboxylate","","HMDB0242584","NA","4913064","NA","null","null",TRUE,TRUE,NA,NA,NA
"(2s)-1-[(2s)-3-(4h-imidazol-4-yl)-2-[[(2s)-5-oxopyrrolidine-2-carbonyl]amino]propanoyl]pyrrolidine-2-carboxylic acid","12014_pos","(2s)-1-[(2s)-3-(4h-imidazol-4-yl)-2-[[(2s)-5-oxopyrrolidine-2-carbonyl]amino]propanoyl]pyrrolidine-2-carboxylic acid",0.42,361107.3,NA,"Unknown","null","(2S)-1-[(2S)-3-(4H-Imidazol-4-yl)-2-[[(2S)-5-oxopyrrolidine-2-carbonyl]amino]propanoyl]pyrrolidine-2-carboxylic acid;N-((Tetrahydro-5-oxo-2-furanyl)carbonyl)-L-histidyl-L-prolinamide;Pglu-his-pro","","HMDB0250908;HMDB0252610;HMDB0256375","NA;NA;NA","20564081;10007863;4968","NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(2s,3r,4s,5r)-3,4,5-trihydroxy-6-oxopiperidine-2-carboxylic acid","3201_neg","(2s,3r,4s,5r)-3,4,5-trihydroxy-6-oxopiperidine-2-carboxylic acid",0.87,39.34,NA,"Unknown","null","(2s,3r,4s,5r)-3,4,5-Trihydroxy-6-oxopiperidine-2-carboxylic acid;6-Formylpterin;Isosorbide 2-nitrate;Nitrilotriacetic acid","C14695","HMDB0242545;HMDB0247066;HMDB0253694;HMDB0255635","NA;70981;NA;44557","451784;NA;2724484;8758","NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(3r,4r)-3-amino-1-hydroxy-4-methylpyrrolidin-2-one","1020_pos","(3r,4r)-3-amino-1-hydroxy-4-methylpyrrolidin-2-one",0.42,19.68,NA,"Unknown","null","(3R,4R)-3-Amino-1-hydroxy-4-methylpyrrolidin-2-one;(2S,4R)-4-Aminopyrrolidine-2-carboxylic acid;Morpholine-4-carboxamide;4-Amino-5-oxopentanamide","","HMDB0243603;HMDB0244734;HMDB0254895;HMDB0258161","NA;NA;NA;NA","14804746;124558;75088;18968136","NA;NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"(3r,4s)-2-[6-(cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol","11321_pos","(3r,4s)-2-[6-(cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol",0.47,13830.33,NA,"Unknown","null","(3R,4S)-2-[6-(Cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol;Cyclohexyladenosine","","HMDB0243620;HMDB0250660","108287;NA","2692;17891077","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(4-aminophenyl)phosphonic acid","2411_neg","(4-aminophenyl)phosphonic acid",0.42,26.62,NA,"Unknown","null","(4-Aminophenyl)phosphonic acid","","HMDB0243614","NA","53590","NA","null","null",TRUE,TRUE,NA,NA,NA
"(4-carbamimidoylphenyl)methanesulfonyl fluoride","4398_neg","(4-carbamimidoylphenyl)methanesulfonyl fluoride",0.11,12.91,NA,"Unknown","null","(4-Carbamimidoylphenyl)methanesulfonyl fluoride","","HMDB0243615","NA","1719","NA","null","null",TRUE,FALSE,NA,NA,NA
"(4-sulfamoylphenyl) 4-(diaminomethylideneamino)benzoate","10054_neg","(4-sulfamoylphenyl) 4-(diaminomethylideneamino)benzoate",0.18,9.8,NA,"Unknown","null","(4-Sulfamoylphenyl) 4-(diaminomethylideneamino)benzoate","","HMDB0246580","NA","127139","NA","null","null",TRUE,FALSE,NA,NA,NA
"(5s,6r)-methyl 5,6,7-trihydroxyheptanoate","3262_neg","(5s,6r)-methyl 5,6,7-trihydroxyheptanoate",0.42,147.54,NA,"Unknown","null","(5S,6R)-Methyl 5,6,7-trihydroxyheptanoate","","HMDB0247393","NA","12898083","NA","null","null",TRUE,TRUE,NA,NA,NA
"(8r)-3-[(4s,5r)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-7,8-dihydro-4h-imidazo[4,5-d][1,3]diazepin-8-ol","7254_pos","(8r)-3-[(4s,5r)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-7,8-dihydro-4h-imidazo[4,5-d][1,3]diazepin-8-ol",0.8,31.51,NA,"Unknown","null","(8R)-3-[(4S,5R)-4-Hydroxy-5-(hydroxymethyl)oxolan-2-yl]-7,8-dihydro-4H-imidazo[4,5-d][1,3]diazepin-8-ol;Razoxane, (R)-;N-Acetylcarnosine","","HMDB0245535;HMDB0245675;HMDB0255058","NA;50225;NA","4739;NA;91814","NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(S)-3,4-dihydroxybutyric acid","624_neg","(S)-3,4-dihydroxybutyric acid",0.87,1738.22,NA,"PURINE","null","(S)-3,4-Dihydroxybutyric acid;2,4-Dihydroxybutanoic acid;4-Deoxyerythronic acid;Purine;4-Deoxythreonic acid;A,b-Dihydroxyisobutyric acid;Erythrose;(2-Hydroxyethoxy)acetic acid;1H-Pyrazolo[4,3-d]pyrimidine;2,3-Dihydroxybutanoic acid;5-Aminopyrimidine-2-carbonitrile;D-Erythrose;1,3-Dihydroxypropan-2-yl formate;pyrazolopyridazine","C15587;C01796","HMDB0000337;HMDB0000360;HMDB0000498;HMDB0001366;HMDB0002453;HMDB0002601;HMDB0002649;HMDB0242471;HMDB0244901;HMDB0245394;HMDB0246753;HMDB0250746;HMDB0254858;HMDB0256954","86371;86348;NA;17258;86391;36532;23956;NA;50092;86347;NA;NA;NA;NA","150929;192742;13120901;1044;10964471;560781;439574;25935;21083976;250402;12215995;101561;17756737;54448404","NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"(Z)-n-feruloyl-5-hydroxyanthranilic acid","9786_neg","(Z)-n-feruloyl-5-hydroxyanthranilic acid",0.11,48.37,NA,"Unknown","null","(Z)-N-Feruloyl-5-hydroxyanthranilic acid","","HMDB0038575","167489","10087955","NA","null","null",TRUE,FALSE,NA,NA,NA
"1,1'-thiocarbonyldiimidazole","2844_pos","1,1'-thiocarbonyldiimidazole",0.36,29.69,NA,"Unknown","null","""1,1'-Thiocarbonyldiimidazole""","","HMDB0244051","NA","80264","NA","null","null",TRUE,TRUE,NA,NA,NA
"1,1-diethyl-2-hydroxy-3-oxotriazane","1055_pos","1,1-diethyl-2-hydroxy-3-oxotriazane",0.89,19413.58,NA,"CREATINE","null","1,1-Diethyl-2-hydroxy-3-oxotriazane","","HMDB0250561","NA","135503456","NA","null","null",TRUE,TRUE,NA,NA,NA
"1,2,3-trihydroxybenzene","834_pos","1,2,3-trihydroxybenzene",0.76,60.57,NA,"Unknown","null","1,2,3-Trihydroxybenzene;1,3,5-Trihydroxybenzene;Methyl 2-furoate;Maltol;5-Methylfuran-2-carboxylic acid;2,3-Dimethylmaleic anhydride;3-(Hydroxymethyl)furan-2-carbaldehyde","C01108;C02183;C11918","HMDB0013674;HMDB0013675;HMDB0029750;HMDB0030776;HMDB0059735;HMDB0245404;HMDB0246148","16164;16204;NA;142577;NA;NA;NA","1057;359;11902;8369;74710;13010;16730373","NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1,2-benzenedithiol","1364_pos","1,2-benzenedithiol",0.38,86.64,NA,"Unknown","null","1,2-Benzenedithiol","","HMDB0244056","NA","69370","NA","null","null",TRUE,TRUE,NA,NA,NA
"1,3,7-trimethyluric acid","4139_neg","1,3,7-trimethyluric acid",0.8,23.42,NA,"Unknown","null","1,3,7-Trimethyluric acid;Sedoheptulose;Caffeinol;d-Glycero-d-galacto-heptose;MANNOHEPTULOSE;(3R,5R,6R)-1,2,3,5,6,7-Hexahydroxyheptan-4-one","C16361;C08355","HMDB0002123;HMDB0003219;HMDB0249533;HMDB0253107;HMDB0254327;HMDB0255327","691622;27520;NA;NA;NA;NA","79437;441483;53630515;219662;102926;53928572","NA;NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1,3-dimethyluric acid","3603_pos","1,3-dimethyluric acid",0.4,45.1,NA,"Unknown","null","1,3-Dimethyluric acid;3,7-Dimethyluric acid;1,9-Dimethyluric acid;7,9-Dimethyluric acid;1,7-Dimethyluric acid;3,9-Dimethyluric acid;Alafosfalin","C16360;C16356","HMDB0001857;HMDB0001982;HMDB0002026;HMDB0004308;HMDB0011103;HMDB0059704;HMDB0248096","68447;68531;173963;NA;68449;NA;NA","70346;83126;108712;87909;91611;108713;171375","NA;NA;NA;NA;NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"1,4-diacetoxy-2,3-dicyanobenzene","6003_pos","1,4-diacetoxy-2,3-dicyanobenzene",0.16,13.44,NA,"Unknown","null","1,4-Diacetoxy-2,3-dicyanobenzene","","HMDB0244205","NA","134319","NA","null","null",TRUE,TRUE,NA,NA,NA
"1,4-diamino-2,3-dicyano-1,4-bis(o-aminophenylmercapto)butadiene","12189_neg","1,4-diamino-2,3-dicyano-1,4-bis(o-aminophenylmercapto)butadiene",0.51,19887.15,NA,"Unknown","null","1,4-Diamino-2,3-dicyano-1,4-bis(o-aminophenylmercapto)butadiene","","HMDB0259375","NA","NA","NA","null","null",TRUE,TRUE,NA,NA,NA
"1,5-benzothiazepin-4(5h)-one, 2,3-dihydro-3-hydroxy-2-(4-methoxyphenyl)-5-(2-(methylamino)ethyl)-, (2s,3s)-","11766_pos","1,5-benzothiazepin-4(5h)-one, 2,3-dihydro-3-hydroxy-2-(4-methoxyphenyl)-5-(2-(methylamino)ethyl)-, (2s,3s)-",0.53,12003.72,NA,"Unknown","null","1,5-Benzothiazepin-4(5H)-one, 2,3-dihydro-3-hydroxy-2-(4-methoxyphenyl)-5-(2-(methylamino)ethyl)-, (2S,3S)-","","HMDB0247530","NA","162440","NA","null","null",TRUE,TRUE,NA,NA,NA
"1,n6-ethenoadenosine","8397_pos","1,n6-ethenoadenosine",0.51,23.54,NA,"Unknown","null","1,N6-Ethenoadenosine;2-Deoxy-2,3-dehydro-n-acetyl-neuraminic acid;Carprazidil;Ethenoadenosine","","HMDB0244260;HMDB0245680;HMDB0249688;HMDB0252011","NA;NA;NA;NA","3260;1553;NA;NA","NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1-((1-(4-chlorophenyl)-1h-1,2,3-triazol-4-yl)methyl)-4-phenylpiperazine","10882_neg","1-((1-(4-chlorophenyl)-1h-1,2,3-triazol-4-yl)methyl)-4-phenylpiperazine",0.42,11.69,NA,"Unknown","null","1-((1-(4-Chlorophenyl)-1H-1,2,3-triazol-4-yl)methyl)-4-phenylpiperazine","","HMDB0250044","NA","NA","NA","null","null",TRUE,TRUE,NA,NA,NA
"1-(1-methylindol-5-yl)-3-(3-methyl-1,2-thiazol-5-yl)urea","8145_pos","1-(1-methylindol-5-yl)-3-(3-methyl-1,2-thiazol-5-yl)urea",0.36,133750.7,"Coumarans","no MS2: Ethofumesate; LC-ESI-ITFT; MS2; CE","C13H18O5S","1-(1-Methylindol-5-yl)-3-(3-methyl-1,2-thiazol-5-yl)urea","","HMDB0257511","140936","NA","NA","IRCMYGHHKLLGHV-UHFFFAOYNA-N","CCOC1OC2=C(C=C(OS(C)(=O)=O)C=C2)C1(C)C",TRUE,FALSE,NA,NA,NA
"1-(1-naphthyl)ethyl isocyanate","3643_pos","1-(1-naphthyl)ethyl isocyanate",0.24,6.29,NA,"Unknown","null","1-(1-Naphthyl)ethyl isocyanate;""[1,1'-Biphenyl]-2-carboxamide"";Benzanilide","","HMDB0243773;HMDB0245291;HMDB0248973","NA;NA;NA","602753;83254;7168","NA;NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"1-(1-phenylcyclohexyl)-3-methylpiperidine","6690_pos","1-(1-phenylcyclohexyl)-3-methylpiperidine",0.31,14295.65,NA,"Unknown","null","1-(1-Phenylcyclohexyl)-3-methylpiperidine","","HMDB0250006","NA","150980","NA","null","null",TRUE,TRUE,NA,NA,NA
"1-(2,4-dichlorobenzyl)-1h-indazole-3-carbohydrazide","10045_neg","1-(2,4-dichlorobenzyl)-1h-indazole-3-carbohydrazide",0.27,17.39,NA,"Unknown","null","1-(2,4-Dichlorobenzyl)-1H-indazole-3-carbohydrazide;Salacinol","","HMDB0248018;HMDB0257455","NA;NA","9819086;18730125","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"1-(3-(4-phenylbenzyl)-4-hydroxychroman-7-yl)cyclopentane-1-carboxylic acid","14431_neg","1-(3-(4-phenylbenzyl)-4-hydroxychroman-7-yl)cyclopentane-1-carboxylic acid",0.07,215172,NA,"Unknown","null","1-(3-(4-Phenylbenzyl)-4-hydroxychroman-7-yl)cyclopentane-1-carboxylic acid","","HMDB0250507","NA","15235356","NA","null","null",TRUE,FALSE,NA,NA,NA
"1-(4-chlorophenyl)-3-((4-methylphenyl)sulfonyl)urea","9553_neg","1-(4-chlorophenyl)-3-((4-methylphenyl)sulfonyl)urea",0.24,29.48,NA,"Unknown","null","1-(4-Chlorophenyl)-3-((4-methylphenyl)sulfonyl)urea;Dulofibrate","","HMDB0246250;HMDB0251637","NA;NA","NA;68812","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"1-(7z-hexadecenoyl)-2-(4z,7z,10z,13z,16z,19z-docosahexaenoyl)-sn-glycero-3-phosphocholine","24210_pos","1-(7z-hexadecenoyl)-2-(4z,7z,10z,13z,16z,19z-docosahexaenoyl)-sn-glycero-3-phosphocholine",0.04,135.09,NA,"Unknown","null","1-(7Z-Hexadecenoyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine","","HMDB0260236","NA","NA","NA","null","null",TRUE,FALSE,NA,NA,NA
"1-[3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1,2,4-triazole-3-carboxamide","5805_neg","1-[3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1,2,4-triazole-3-carboxamide",0.31,35.83,NA,"Unknown","null","1-[3,4-Dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-1,2,4-triazole-3-carboxamide;""5'-Azacytidine"";arabinofuranosyl-5-azacytosine;4-Amino-1-(6-aminopurin-9-yl)pyrimidin-2-one","","HMDB0243988;HMDB0246880;HMDB0248552;HMDB0257570","94463;NA;NA;NA","5064;NA;1805;56974816","NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-hydroxyhydropyridin-2-one","5946_pos","1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-hydroxyhydropyridin-2-one",0.18,20.7,NA,"Unknown","null","1-[3,4-Dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-hydroxyhydropyridin-2-one","","HMDB0243807","NA","54676525","NA","null","null",TRUE,TRUE,NA,NA,NA
"1-benzothiepin","1998_pos","1-benzothiepin",0.24,50.08,NA,"Unknown","null","1-Benzothiepin","","HMDB0243832","NA","9834037","NA","null","null",TRUE,FALSE,NA,NA,NA
"1-benzylimidazole","2018_pos","1-benzylimidazole",0.56,21.33,NA,"Unknown","null","1-Benzylimidazole;1,2-Diaminonaphthalene;1,5-Naphthalenediamine;2,3-Diaminonaphthalene;Nicotyrine","C19463;C10161","HMDB0243836;HMDB0244064;HMDB0244231;HMDB0245385;HMDB0255591","NA;NA;53003;NA;NA","77918;13648;16720;69872;10249","NA;NA;NA;NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1-chlorodibenzo-p-dioxin","4659_pos","1-chlorodibenzo-p-dioxin",0.49,45.48,NA,"Unknown","null","1-Chlorodibenzo-p-dioxin;1,4-Butanediphosphonic acid","","HMDB0243849;HMDB0244204","NA;NA","37207;437082","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"1-deoxy-1-morpholino-d-fructose","6267_pos","1-deoxy-1-morpholino-d-fructose",0.38,32.44,NA,"Unknown","null","1-Deoxy-1-morpholino-D-fructose","","HMDB0243858","NA","220877","NA","null","null",TRUE,TRUE,NA,NA,NA
"1-hydroxy-2-naphthoic acid","3052_neg","1-hydroxy-2-naphthoic acid",0.49,285.21,NA,"1-Hydroxy-2-Naphthoate","null","1-Hydroxy-2-naphthoic acid;Plumbagin","C03203;C10387","HMDB0243892;HMDB0256646","36108;8273","6844;NA","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"1-iodobutane","2866_neg","1-iodobutane",0.69,107.44,NA,"Unknown","null","1-Iodobutane;Glycerolphosphate","","HMDB0243906;HMDB0252846","NA;NA","10962;129628127","NA;NA","null","null",TRUE,FALSE,NA,NA,NA
"1-iodoheptane","5049_pos","1-iodoheptane",0.09,9.28,NA,"Unknown","null","1-Iodoheptane;Methyl 3,5-dinitrobenzoate","","HMDB0243907;HMDB0254567","NA;NA","20274;NA","NA;NA","null","null",TRUE,TRUE,NA,NA,NA
"1-iodopentane","3511_neg","1-iodopentane",0.49,169.82,NA,"Unknown","null","1-Iodopentane","","HMDB0243909","NA","12335","NA","null","null",TRUE,TRUE,NA,NA,NA
